baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ostta01g00010	7.08843253176631	-1.46280989047879	0.813384225692404	-1.79842421855865	0.0721098077172341	NA
ostta01g00020	6.07594981323901	-0.202119415844378	0.806824386292528	-0.250512279100964	0.802191210028218	NA
ostta01g00030	0.936263439052643	0.946320442324075	1.96015736988649	0.482777789611288	0.629253522655027	NA
ostta01g00040	16.498881381166	-0.0676998120106605	0.572858064277383	-0.118179032874502	0.90592580286695	NA
ostta01g00050	10.7192859002848	0.159723564636823	0.670239169528102	0.238308311269363	0.811641975562455	NA
ostta01g00060	3.87488664286376	0.384019226760457	0.985810913562617	0.389546536234471	0.696871892784487	NA
ostta01g00070	2.10140974792434	-1.23919437377271	1.30215076130357	-0.951651998062164	0.341273501200314	NA
ostta01g00080	0.69188211376877	-2.981335072374	2.37302578909434	-1.25634330906779	0.208991526043484	NA
ostta01g00090	52.4901159726525	0.0687636735673332	0.509033650169207	0.135086695240041	0.892543329412731	0.963384573411776
ostta01g00100	10.9296939190123	-0.20236336505578	0.685382907523312	-0.295255926044372	0.767798382342053	NA
ostta01g00110	0.161667127639052	0.878270766661263	4.0804728567969	0.215237497585192	0.829582157125221	NA
ostta01g00120	2.13583041849688	0.558355568178794	1.40490808838799	0.397432097369059	0.691048850123714	NA
ostta01g00130	3.58184337130392	-0.348051130584217	0.985202042872137	-0.353278937150345	0.723879334516268	NA
ostta01g00140	6.1073902374407	-1.13514370952438	1.0457401403222	-1.08549310268862	0.277703316888901	NA
ostta01g00150	0.782349543695458	1.80685517625187	2.1052705730112	0.85825318579716	0.390752673382055	NA
ostta01g00160	5.47603496937244	0.611794028890628	0.829872254068541	0.737214704903363	0.460991792411215	NA
ostta01g00170	0.631162045992472	-0.0412561027978841	2.52235387371591	-0.0163561914241263	0.986950229248396	NA
ostta01g00180	0.627790384081099	-1.50278693483907	2.3724470590159	-0.633433285319519	0.526450734511251	NA
